"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"19-Jul-2021","    15754.50","    15836.90","    15707.50","    15752.40","      242131813","        18088.78"
"20-Jul-2021","    15703.95","    15728.45","    15578.55","    15632.10","      274284165","        21329.55"
"22-Jul-2021","    15736.60","    15834.80","    15726.40","    15824.05","      265250867","        23988.39"
"23-Jul-2021","    15856.80","    15899.80","    15768.40","    15856.05","      294098244","        20685.82"
"26-Jul-2021","    15849.30","    15893.35","    15797.00","    15824.45","      267076679","        19487.18"
"27-Jul-2021","    15860.50","    15881.55","    15701.00","    15746.45","      311012065","        26117.34"
"28-Jul-2021","    15761.55","    15767.50","    15513.45","    15709.40","      318601589","        26090.48"
"29-Jul-2021","    15762.70","    15817.35","    15737.80","    15778.45","      401584915","        29460.54"
"30-Jul-2021","    15800.60","    15862.80","    15744.85","    15763.05","      400021237","        30539.63"
"02-Aug-2021","    15874.90","    15892.90","    15834.65","    15885.15","      244847433","        20766.99"
"03-Aug-2021","    15951.55","    16146.90","    15914.35","    16130.75","      341289658","        26373.24"
"04-Aug-2021","    16195.25","    16290.20","    16176.15","    16258.80","      427337644","        32434.78"
"05-Aug-2021","    16288.95","    16349.45","    16210.30","    16294.60","      418174517","        31386.78"
"06-Aug-2021","    16304.40","    16336.75","    16223.30","    16238.20","      320087281","        24716.17"
"09-Aug-2021","    16281.35","    16320.75","    16179.05","    16258.25","      240452917","        18302.03"
"10-Aug-2021","    16274.80","    16359.25","    16202.25","    16280.10","      287989486","        22600.38"
"11-Aug-2021","    16327.30","    16338.75","    16162.55","    16282.25","      277895886","        20306.59"
"12-Aug-2021","    16303.65","    16375.50","    16286.90","    16364.40","      280181324","        18548.87"
"13-Aug-2021","    16385.70","    16543.60","    16376.30","    16529.10","      321866286","        27163.08"
"16-Aug-2021","    16518.40","    16589.40","    16480.75","    16563.05","      254049330","        21456.20"
"17-Aug-2021","    16545.25","    16628.55","    16495.40","    16614.60","      297388470","        25696.44"
"18-Aug-2021","    16691.95","    16701.85","    16535.85","    16568.85","      251796822","        22721.54"
"20-Aug-2021","    16382.50","    16509.55","    16376.05","    16450.50","      350819323","        30118.23"
"23-Aug-2021","    16592.25","    16592.50","    16395.70","    16496.45","      275597782","        24355.77"
"24-Aug-2021","    16561.40","    16647.10","    16495.30","    16624.60","      275362819","        24992.32"
"25-Aug-2021","    16654.00","    16712.45","    16617.50","    16634.65","      265920141","        22210.60"
"26-Aug-2021","    16627.95","    16683.70","    16603.40","    16636.90","      253530997","        22320.21"
"27-Aug-2021","    16642.55","    16722.05","    16565.60","    16705.20","      217405743","        20499.85"
"30-Aug-2021","    16775.85","    16951.50","    16764.85","    16931.05","      283483108","        23615.87"
"31-Aug-2021","    16947.50","    17153.50","    16915.85","    17132.20","      464390247","        40147.89"
"01-Sep-2021","    17185.60","    17225.75","    17055.05","    17076.25","      301894634","        27691.93"
"02-Sep-2021","    17095.40","    17245.50","    17059.70","    17234.15","      242377518","        22620.36"
"03-Sep-2021","    17262.45","    17340.10","    17212.20","    17323.60","      261373795","        23579.17"
"06-Sep-2021","    17399.35","    17429.55","    17345.55","    17377.80","      228045532","        21270.62"
"07-Sep-2021","    17401.55","    17436.50","    17287.00","    17362.10","      243417811","        19848.94"
"08-Sep-2021","    17375.75","    17383.40","    17254.20","    17353.50","      252652423","        22696.35"
"09-Sep-2021","    17312.85","    17379.65","    17302.70","    17369.25","      241509352","        17719.78"
"13-Sep-2021","    17363.55","    17378.35","    17269.15","    17355.30","      241053924","        18498.63"
"14-Sep-2021","    17420.35","    17438.55","    17367.05","    17380.00","      230354386","        18702.82"
"15-Sep-2021","    17387.65","    17532.70","    17386.90","    17519.45","      388191629","        24256.80"
"16-Sep-2021","    17539.20","    17644.60","    17510.45","    17629.50","      503310763","        30189.77"
"17-Sep-2021","    17709.65","    17792.95","    17537.65","    17585.15","      508285916","        43345.58"
"20-Sep-2021","    17443.85","    17622.75","    17361.80","    17396.90","      339102046","        25304.27"
"21-Sep-2021","    17450.50","    17578.35","    17326.10","    17562.00","      363578479","        26520.99"
"22-Sep-2021","    17580.90","    17610.45","    17524.00","    17546.65","      295191136","        21772.23"
"23-Sep-2021","    17670.85","    17843.90","    17646.55","    17822.95","      320514486","        25005.36"
"24-Sep-2021","    17897.45","    17947.65","    17819.40","    17853.20","      360130853","        30787.59"
"27-Sep-2021","    17932.20","    17943.50","    17802.90","    17855.10","      295714657","        24244.98"
"28-Sep-2021","    17906.45","    17912.85","    17576.10","    17748.60","      397997281","        27055.36"
"29-Sep-2021","    17657.95","    17781.75","    17608.15","    17711.30","      562237732","        30621.28"
"30-Sep-2021","    17718.90","    17742.15","    17585.35","    17618.15","      378592721","        27167.19"
"01-Oct-2021","    17531.90","    17557.15","    17452.90","    17532.05","      305763919","        20911.61"
"04-Oct-2021","    17615.55","    17750.90","    17581.35","    17691.25","      295761839","        21343.51"
"05-Oct-2021","    17661.35","    17833.45","    17640.90","    17822.30","      427000191","        23066.80"
"06-Oct-2021","    17861.50","    17884.60","    17613.15","    17646.00","      395833550","        24504.30"
"07-Oct-2021","    17810.55","    17857.55","    17763.80","    17790.35","      419890959","        27371.98"
"08-Oct-2021","    17886.85","    17941.85","    17840.35","    17895.20","      324066351","        22778.68"
"11-Oct-2021","    17867.55","    18041.95","    17839.10","    17945.95","      375756457","        29000.20"
"12-Oct-2021","    17915.80","    18008.65","    17864.95","    17991.95","      355568313","        26491.42"
"13-Oct-2021","    18097.85","    18197.80","    18050.75","    18161.75","      506679748","        34503.00"
"14-Oct-2021","    18272.85","    18350.75","    18248.70","    18338.55","      538714440","        38903.16"
"18-Oct-2021","    18500.10","    18543.15","    18445.30","    18477.05","      469883515","        36800.84"
"19-Oct-2021","    18602.35","    18604.45","    18377.70","    18418.75","      368230309","        30505.86"
"20-Oct-2021","    18439.90","    18458.30","    18209.35","    18266.60","      371276478","        28968.42"
"21-Oct-2021","    18382.70","    18384.20","    18048.00","    18178.10","      365902008","        30839.79"
"22-Oct-2021","    18230.70","    18314.25","    18034.35","    18114.90","      324748084","        26938.88"
"25-Oct-2021","    18229.50","    18241.40","    17968.50","    18125.40","      418703647","        34572.34"
"26-Oct-2021","    18154.50","    18310.45","    18099.30","    18268.40","      341377869","        29764.61"
"27-Oct-2021","    18295.85","    18342.05","    18167.90","    18210.95","      335248487","        30823.75"
"28-Oct-2021","    18187.65","    18190.70","    17799.45","    17857.25","      374205784","        30222.34"
"29-Oct-2021","    17833.05","    17915.85","    17613.10","    17671.65","      336466864","        28136.00"
"01-Nov-2021","    17783.15","    17954.10","    17697.10","    17929.65","      281190130","        24354.38"
"02-Nov-2021","    17970.90","    18012.25","    17847.60","    17888.95","      296441997","        23371.51"
"03-Nov-2021","    17947.95","    17988.75","    17757.95","    17829.20","      330995982","        26186.85"
"04-Nov-2021","    17935.05","    17947.55","    17900.60","    17916.80","       48520856","         3637.06"
"08-Nov-2021","    18040.20","    18087.80","    17836.10","    18068.55","      338919483","        30908.23"
"09-Nov-2021","    18084.35","    18112.60","    17983.05","    18044.25","      270197527","        23686.09"
"10-Nov-2021","    17973.45","    18061.25","    17915.00","    18017.20","      261446523","        22281.11"
"11-Nov-2021","    17967.45","    17971.35","    17798.20","    17873.60","      232121151","        20074.78"
"12-Nov-2021","    17977.60","    18123.00","    17905.90","    18102.75","      249111898","        22164.33"
"15-Nov-2021","    18140.95","    18210.15","    18071.30","    18109.45","      280428633","        19099.60"
"16-Nov-2021","    18127.05","    18132.65","    17958.80","    17999.20","      267431829","        24101.67"
"17-Nov-2021","    17939.35","    18022.65","    17879.25","    17898.65","      295715938","        22950.84"
"18-Nov-2021","    17890.55","    17945.60","    17688.50","    17764.80","      278425148","        22625.36"
"22-Nov-2021","    17796.25","    17805.25","    17280.45","    17416.55","      356400425","        29570.57"
"23-Nov-2021","    17281.75","    17553.70","    17216.10","    17503.35","      308843255","        26240.41"
"24-Nov-2021","    17550.05","    17600.60","    17354.00","    17415.05","      298052158","        23766.93"
"25-Nov-2021","    17417.30","    17564.35","    17351.70","    17536.25","      255947032","        21953.33"
"26-Nov-2021","    17338.75","    17355.40","    16985.70","    17026.45","      356330009","        28485.53"
"29-Nov-2021","    17055.80","    17160.70","    16782.40","    17053.95","      348888750","        27428.20"
"30-Nov-2021","    17051.15","    17324.65","    16931.40","    16983.20","      497999836","        41494.90"
"01-Dec-2021","    17104.40","    17213.05","    17064.25","    17166.90","      295542125","        24098.73"
"02-Dec-2021","    17183.20","    17420.35","    17149.30","    17401.65","      279867500","        22473.64"
"03-Dec-2021","    17424.90","    17489.80","    17180.80","    17196.70","      292526485","        23100.57"
"06-Dec-2021","    17209.05","    17216.75","    16891.70","    16912.25","      231716681","        17912.15"
"07-Dec-2021","    17044.10","    17251.65","    16987.75","    17176.70","      254144221","        21693.69"
"08-Dec-2021","    17315.25","    17484.60","    17308.95","    17469.75","      257791948","        21665.95"
"09-Dec-2021","    17524.40","    17543.25","    17379.60","    17516.85","      237170272","        18984.75"
"10-Dec-2021","    17476.05","    17534.35","    17405.25","    17511.30","      204467484","        16399.53"
"13-Dec-2021","    17619.10","    17639.50","    17355.95","    17368.25","      256560534","        20592.03"
"14-Dec-2021","    17283.20","    17376.20","    17225.80","    17324.90","      270965586","        20459.79"
"15-Dec-2021","    17323.65","    17351.20","    17192.20","    17221.40","      214972109","        17046.42"
"16-Dec-2021","    17373.00","    17379.35","    17184.95","    17248.40","      219496063","        18493.54"
"17-Dec-2021","    17276.00","    17298.15","    16966.45","    16985.20","      354591366","        31326.91"
"20-Dec-2021","    16824.25","    16840.10","    16410.20","    16614.20","      330614079","        25123.59"
"21-Dec-2021","    16773.15","    16936.40","    16688.25","    16770.85","      241030834","        19783.04"
"22-Dec-2021","    16865.55","    16971.00","    16819.50","    16955.45","      207946105","        17443.94"
"23-Dec-2021","    17066.80","    17118.65","    17015.55","    17072.60","      196965302","        15755.89"
"24-Dec-2021","    17149.50","    17155.60","    16909.60","    17003.75","      182564833","        15435.01"
"27-Dec-2021","    16937.75","    17112.05","    16833.20","    17086.25","      144777457","        12567.03"
"28-Dec-2021","    17177.60","    17250.25","    17161.15","    17233.25","      176026100","        14553.76"
"29-Dec-2021","    17220.10","    17285.95","    17176.65","    17213.60","      161679423","        14320.79"
"30-Dec-2021","    17201.45","    17264.05","    17146.35","    17203.95","      320831676","        21929.19"
"31-Dec-2021","    17244.50","    17400.80","    17238.50","    17354.05","      167025720","        14588.54"
"03-Jan-2022","    17387.15","    17646.65","    17383.30","    17625.70","      200456430","        16181.36"
"04-Jan-2022","    17681.40","    17827.60","    17593.55","    17805.25","      247437472","        18604.16"
"05-Jan-2022","    17820.10","    17944.70","    17748.85","    17925.25","      251460038","        23737.31"
"06-Jan-2022","    17768.50","    17797.95","    17655.55","    17745.90","      236454824","        22643.82"
"07-Jan-2022","    17797.60","    17905.00","    17704.55","    17812.70","      239338015","        21447.89"
"10-Jan-2022","    17913.30","    18017.45","    17879.15","    18003.30","      232418075","        20853.64"
"11-Jan-2022","    17997.75","    18081.25","    17964.40","    18055.75","      220238796","        20781.46"
"12-Jan-2022","    18170.40","    18227.95","    18128.80","    18212.35","      244974287","        22298.69"
"13-Jan-2022","    18257.00","    18272.25","    18163.80","    18257.80","      303700545","        28670.93"
"14-Jan-2022","    18185.00","    18286.95","    18119.65","    18255.75","      229451608","        21024.51"
"17-Jan-2022","    18235.65","    18321.55","    18228.75","    18308.10","      266702919","        23859.38"
"18-Jan-2022","    18337.20","    18350.95","    18085.90","    18113.05","      227507319","        20852.67"
"19-Jan-2022","    18129.20","    18129.20","    17884.90","    17938.40","      276662654","        25310.19"
"20-Jan-2022","    17921.00","    17943.70","    17648.45","    17757.00","      258094246","        25863.29"
"21-Jan-2022","    17613.70","    17707.60","    17485.85","    17617.15","      277645373","        25941.64"
"24-Jan-2022","    17575.15","    17599.40","    16997.85","    17149.10","      323847388","        28387.73"
"25-Jan-2022","    17001.55","    17309.15","    16836.80","    17277.95","      326515896","        31344.46"
"27-Jan-2022","    17062.00","    17182.50","    16866.75","    17110.15","      395596577","        36296.64"
"28-Jan-2022","    17208.30","    17373.50","    17077.10","    17101.95","      355284285","        29799.89"
"31-Jan-2022","    17301.05","    17410.00","    17264.15","    17339.85","      321660346","        25474.13"
"01-Feb-2022","    17529.45","    17622.40","    17244.55","    17576.85","      386391485","        30033.66"
"02-Feb-2022","    17706.20","    17794.60","    17674.80","    17780.00","      271205907","        23611.59"
"03-Feb-2022","    17767.75","    17781.15","    17511.15","    17560.20","      226614989","        20373.06"
"04-Feb-2022","    17590.20","    17617.80","    17462.55","    17516.30","      261434170","        20651.85"
"07-Feb-2022","    17456.30","    17536.75","    17119.40","    17213.60","      265037933","        21925.11"
"08-Feb-2022","    17279.85","    17306.45","    17043.65","    17266.75","      268526210","        23846.16"
"09-Feb-2022","    17370.10","    17477.15","    17339.00","    17463.80","      236350514","        19327.67"
"10-Feb-2022","    17554.10","    17639.45","    17427.15","    17605.85","      273606440","        22210.93"
"11-Feb-2022","    17451.00","    17454.75","    17303.00","    17374.75","      253141660","        23230.82"
"14-Feb-2022","    17076.15","    17099.50","    16809.65","    16842.80","      305510740","        24976.16"
"15-Feb-2022","    16933.25","    17375.00","    16839.25","    17352.45","      298658142","        24765.67"
"16-Feb-2022","    17408.45","    17490.60","    17257.70","    17322.20","      244549223","        21128.38"
"17-Feb-2022","    17396.55","    17442.90","    17235.85","    17304.60","      232136131","        19381.26"
"18-Feb-2022","    17236.05","    17380.80","    17219.20","    17276.30","      189620888","        16126.96"
"21-Feb-2022","    17192.25","    17351.05","    17070.70","    17206.65","      215183301","        18725.57"
"22-Feb-2022","    16847.95","    17148.55","    16843.80","    17092.20","      300131995","        24040.84"
"23-Feb-2022","    17194.50","    17220.70","    17027.85","    17063.25","      200229631","        17662.47"
"24-Feb-2022","    16548.90","    16705.25","    16203.25","    16247.95","      457967874","        36650.83"
"25-Feb-2022","    16515.65","    16748.80","    16478.30","    16658.40","      329780732","        25743.77"
"28-Feb-2022","    16481.60","    16815.90","    16356.30","    16793.90","      404214666","        33831.57"
"02-Mar-2022","    16593.10","    16678.50","    16478.65","    16605.95","      517723542","        39407.44"
"03-Mar-2022","    16723.20","    16768.95","    16442.95","    16498.05","      442068263","        31413.00"
"04-Mar-2022","    16339.45","    16456.00","    16133.80","    16245.35","      456143040","        34821.10"
"07-Mar-2022","    15867.95","    15944.60","    15711.45","    15863.15","      585403660","        38038.75"
"08-Mar-2022","    15747.75","    16028.75","    15671.45","    16013.45","      543600673","        38704.40"
"09-Mar-2022","    16078.00","    16418.05","    15990.00","    16345.35","      462231428","        35329.34"
"10-Mar-2022","    16757.10","    16757.30","    16447.90","    16594.90","      486445481","        35513.73"
"11-Mar-2022","    16528.80","    16694.40","    16470.90","    16630.45","      343717045","        24720.34"
"14-Mar-2022","    16633.70","    16887.95","    16606.50","    16871.30","      314669685","        23824.02"
"15-Mar-2022","    16900.65","    16927.75","    16555.00","    16663.00","      381631902","        29731.09"
"16-Mar-2022","    16876.65","    16987.90","    16837.85","    16975.35","      259973396","        21361.32"
"17-Mar-2022","    17202.90","    17344.60","    17175.75","    17287.05","      448335248","        35367.28"
"21-Mar-2022","    17329.50","    17353.35","    17096.40","    17117.60","      285451208","        22886.39"
"22-Mar-2022","    17120.40","    17334.40","    17006.30","    17315.50","      338263468","        27347.60"
"23-Mar-2022","    17405.05","    17442.40","    17199.60","    17245.65","      292120348","        24705.28"
"24-Mar-2022","    17094.95","    17291.75","    17091.15","    17222.75","      290280124","        25011.72"
"25-Mar-2022","    17289.00","    17294.90","    17076.55","    17153.00","      237115741","        20031.39"
"28-Mar-2022","    17181.85","    17235.10","    17003.90","    17222.00","      253240837","        19976.26"
"29-Mar-2022","    17297.20","    17343.65","    17235.70","    17325.30","      235149625","        20305.78"
"30-Mar-2022","    17468.15","    17522.50","    17387.20","    17498.25","      505031841","        28907.47"
"31-Mar-2022","    17519.20","    17559.80","    17435.20","    17464.75","      281111679","        24032.07"
